kernel,C,gamma,degree,coef0,train_accuracy,val_accuracy,train_val_gap
linear,0.001,,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
linear,0.0025118864315095794,,,,0.6047297297297297,0.5,0.10472972972972971
linear,0.00630957344480193,,,,0.6295045045045045,0.5806451612903226,0.04885934321418184
linear,0.01584893192461114,,,,0.6542792792792793,0.6344086021505376,0.019870677128741687
linear,0.039810717055349734,,,,0.6734234234234234,0.6451612903225806,0.0282621331008428
linear,0.1,,,,0.6824324324324325,0.6397849462365591,0.04264748619587333
linear,0.25118864315095824,,,,0.6835585585585585,0.6182795698924731,0.06527898866608539
linear,0.6309573444801936,,,,0.6858108108108109,0.6182795698924731,0.06753124091833773
linear,1.584893192461114,,,,0.6869369369369369,0.6075268817204301,0.07941005521650679
linear,3.981071705534973,,,,0.6835585585585585,0.6236559139784946,0.05990264458006389
linear,10.0,,,,0.661036036036036,0.5591397849462365,0.1018962510897995
linear,25.11886431509582,,,,0.5990990990990991,0.6451612903225806,-0.04606219122348154
linear,63.09573444801943,,,,0.6295045045045045,0.6075268817204301,0.021977622784074335
linear,158.48931924611142,,,,0.481981981981982,0.23655913978494625,0.24542284219703575
linear,398.1071705534977,,,,0.6024774774774775,0.6129032258064516,-0.010425748328974138
linear,1000.0,,,,0.48423423423423423,0.20967741935483872,0.27455681487939554
rbf,0.01,scale,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,auto,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,0.0001,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,0.00035938136638046257,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,0.001291549665014884,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,0.004641588833612782,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,0.016681005372000592,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,0.05994842503189409,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,0.21544346900318845,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,0.7742636826811278,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,2.782559402207126,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.01,10.0,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,scale,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,auto,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,0.0001,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,0.00035938136638046257,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,0.001291549665014884,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,0.004641588833612782,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,0.016681005372000592,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,0.05994842503189409,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,0.21544346900318845,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,0.7742636826811278,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,2.782559402207126,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.022758459260747887,10.0,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
rbf,0.05179474679231213,scale,,,0.5912162162162162,0.44623655913978494,0.1449796570764313
rbf,0.05179474679231213,auto,,,0.5912162162162162,0.44623655913978494,0.1449796570764313
rbf,0.05179474679231213,0.0001,,,0.5900900900900901,0.44086021505376344,0.14922987503632662
